,index,country,created_at,paid,installs
17268,13106,US,2019-04-04 15:00:00+00:00,True,709
17269,38735,GB,2019-03-29 22:00:00+00:00,False,718
17270,7358,DE,2019-06-03 18:00:00+00:00,True,891
17271,9919,US,2019-01-28 05:00:00+00:00,False,802
17272,42406,GB,2019-06-14 10:00:00+00:00,True,825
17273,30234,IT,2019-04-01 17:00:00+00:00,True,609
17274,36790,GB,2019-02-17 10:00:00+00:00,True,574
17275,19971,RU,2019-02-26 18:00:00+00:00,False,733
17276,18619,RU,2019-01-29 14:00:00+00:00,False,490
17277,17719,RU,2019-01-10 20:00:00+00:00,False,946
17278,13078,US,2019-04-04 01:00:00+00:00,True,923
17279,12940,US,2019-04-01 04:00:00+00:00,True,786
17280,22027,RU,2019-04-10 14:00:00+00:00,False,399
17281,49205,TR,2019-05-07 04:00:00+00:00,False,593
17282,29142,IT,2019-03-09 23:00:00+00:00,True,550
17283,13847,US,2019-04-20 01:00:00+00:00,False,612
17284,50792,TR,2019-06-09 06:00:00+00:00,True,779
17285,12163,US,2019-03-15 23:00:00+00:00,False,677
17286,11360,US,2019-02-27 06:00:00+00:00,True,589
17287,34623,GB,2019-01-03 06:00:00+00:00,False,560
17288,50506,TR,2019-06-03 07:00:00+00:00,True,355
17289,46887,TR,2019-03-19 21:00:00+00:00,False,240
17290,38022,GB,2019-03-15 02:00:00+00:00,True,602
17291,10890,US,2019-02-17 11:00:00+00:00,True,650
17292,25364,RU,2019-06-19 03:00:00+00:00,True,274
17293,5420,DE,2019-04-24 09:00:00+00:00,True,547
17294,42423,GB,2019-06-14 18:00:00+00:00,False,560
17295,30227,IT,2019-04-01 13:00:00+00:00,False,210
17296,31750,IT,2019-05-03 07:00:00+00:00,True,901
17297,36334,GB,2019-02-07 22:00:00+00:00,True,71
17298,9777,US,2019-01-25 06:00:00+00:00,False,629
17299,39921,GB,2019-04-23 15:00:00+00:00,False,99
17300,18758,RU,2019-02-01 12:00:00+00:00,True,315
17301,43062,GB,2019-06-28 02:00:00+00:00,True,804
17302,50568,TR,2019-06-04 14:00:00+00:00,True,480
17303,1553,DE,2019-02-02 19:00:00+00:00,False,870
17304,14908,US,2019-05-12 04:00:00+00:00,True,73
17305,25650,RU,2019-06-25 02:00:00+00:00,True,411
17306,48521,TR,2019-04-22 22:00:00+00:00,False,788
17307,22411,RU,2019-04-18 14:00:00+00:00,False,757
17308,44527,TR,2019-01-29 17:00:00+00:00,False,332
17309,23065,RU,2019-05-02 05:00:00+00:00,False,670
17310,21294,RU,2019-03-26 08:00:00+00:00,True,282
17311,50733,TR,2019-06-08 00:00:00+00:00,False,732
17312,338,DE,2019-01-08 12:00:00+00:00,True,513
17313,12395,US,2019-03-20 19:00:00+00:00,False,986
17314,46584,TR,2019-03-13 14:00:00+00:00,True,376
17315,14629,US,2019-05-06 08:00:00+00:00,False,375
17316,4481,DE,2019-04-04 19:00:00+00:00,False,778
17317,15947,US,2019-06-02 19:00:00+00:00,False,880
17318,49101,TR,2019-05-05 00:00:00+00:00,False,113
17319,38120,GB,2019-03-17 03:00:00+00:00,True,221
17320,18031,RU,2019-01-17 08:00:00+00:00,False,633
